id | body | postId | username | updatedAt
1 | This is some awesome thinking! | 100 | Eburras1q | 30-08-2022 20:11:23
2 | What terrific math skills you’re showing! | 27 | Omarsland1y | 30-08-2022 20:11:23
3 | You are an amazing writer! | 61 | Jissetts | 30-08-2022 20:11:23
4 | Wow! You have improved so much! | 8 | Bleveragei | 30-08-2022 20:11:23
5 | Nice idea! | 62 | Cmasurel1x | 30-08-2022 20:11:23
6 | You are showing excellent understanding! | 19 | Cdavydochkin2o | 30-08-2022 20:11:23
7 | This is clear, concise, and complete! | 47 | Froachel | 30-08-2022 20:11:23
8 | What a powerful argument! | 47 | Kogilvy29 | 30-08-2022 20:11:23
9 | I knew you could do it! | 64 | Smargiottau | 30-08-2022 20:11:23
10 | Wonderful ideas! | 4 | Mbrooksbanky | 30-08-2022 20:11:23
11 | It was a pleasure to grade this! | 2 | Rstrettle1v | 30-08-2022 20:11:23
12 | Keep up the incredible work! | 50 | Rkingswood24 | 30-08-2022 20:11:23
13 | My goodness, how impressive! | 37 | Xisherwoodr | 30-08-2022 20:11:23
14 | You’re showing inventive ideas! | 30 | Bpickering1k | 30-08-2022 20:11:23
15 | You’ve shown so much growth! | 44 | Cgaber23 | 30-08-2022 20:11:23
16 | Interesting thoughts! | 71 | Pcumbes2r | 30-08-2022 20:11:23
17 | I love your neat work! | 68 | Nwytchard10 | 30-08-2022 20:11:23
18 | Doesn’t it feel good to do such great work? | 41 | Smargiottau | 30-08-2022 20:11:23
19 | First-rate work! | 75 | Dlambarth1n | 30-08-2022 20:11:23
20 | This is fascinating information! | 48 | Vcholdcroftg | 30-08-2022 20:11:23
21 | You inspire me! | 29 | Kmeus4 | 30-08-2022 20:11:23
22 | This is right on target! | 18 | Smargiottau | 30-08-2022 20:11:23
23 | What an astounding observation! | 73 | Mturleyd | 30-08-2022 20:11:23
24 | This is very well thought out! | 32 | Dpierrof | 30-08-2022 20:11:23
25 | I can tell you’ve been practicing! | 44 | Dbuist25 | 30-08-2022 20:11:23
26 | You’ve come a long way! | 70 | Kogilvy29 | 30-08-2022 20:11:23
27 | I can tell you’ve been paying attention! | 60 | Ahinckes21 | 30-08-2022 20:11:23
28 | Reading this made my day! | 85 | Kpondjones2c | 30-08-2022 20:11:23
29 | This is very perceptive! | 13 | Kdulyt | 30-08-2022 20:11:23
30 | What an accomplishment! | 23 | Dalmondz | 30-08-2022 20:11:23
